datetime,visibility
2025-07-25T04:00:00Z,9000
2025-07-25T08:00:00Z,9000
2025-07-25T09:00:00Z,8000
2025-07-25T10:00:00Z,8000
2025-07-25T11:00:00Z,6000
2025-07-25T12:00:00Z,7000
2025-07-25T13:00:00Z,7000
2025-07-25T14:00:00Z,7000
2025-07-25T20:00:00Z,9000
2025-07-25T21:00:00Z,6000
2025-07-25T21:28:00Z,4000
2025-07-25T21:37:00Z,1000
2025-07-25T21:43:00Z,700
2025-07-25T22:00:00Z,700
2025-07-25T23:00:00Z,3700
2025-07-26T05:00:00Z,9000
2025-07-26T06:00:00Z,8000
2025-07-26T07:00:00Z,3700
2025-07-26T07:35:00Z,3700
2025-07-26T08:00:00Z,8000
2025-07-26T09:00:00Z,7000
2025-07-26T09:39:00Z,2500
2025-07-26T10:00:00Z,2000
2025-07-26T11:00:00Z,2000
2025-07-26T12:00:00Z,3500
2025-07-26T13:00:00Z,8000
2025-07-27T09:00:00Z,6000
2025-07-27T09:14:00Z,4000
2025-07-27T09:40:00Z,2500
2025-07-27T10:00:00Z,600
2025-07-27T11:00:00Z,900
2025-07-27T12:00:00Z,500
2025-07-27T12:35:00Z,800
2025-07-27T13:00:00Z,4000
2025-07-27T13:30:00Z,6000
2025-07-27T14:00:00Z,7000
2025-07-31T06:00:00Z,9000
2025-08-02T07:00:00Z,8000
2025-08-02T08:00:00Z,8000
2025-08-02T09:00:00Z,7000
2025-08-02T11:00:00Z,8000
2025-08-02T12:00:00Z,9000
2025-08-05T05:00:00Z,9000
2025-08-05T06:00:00Z,9000
2025-08-05T07:00:00Z,9000
2025-08-05T08:00:00Z,9000
2025-08-05T09:00:00Z,8000
2025-08-05T10:00:00Z,8000
2025-08-05T11:00:00Z,8000
2025-08-05T12:00:00Z,8000
2025-08-05T13:00:00Z,8000
2025-08-05T14:00:00Z,8000
2025-08-06T08:00:00Z,7000
2025-08-06T09:00:00Z,8000
2025-08-06T10:00:00Z,7000
2025-08-06T11:00:00Z,7000
2025-08-06T12:00:00Z,8000
2025-08-07T07:00:00Z,8000
2025-08-07T08:00:00Z,7000
2025-08-07T09:00:00Z,6000
2025-08-07T09:32:00Z,4000
2025-08-07T10:00:00Z,3000
2025-08-07T11:00:00Z,5000
2025-08-07T11:43:00Z,5000
2025-08-07T12:00:00Z,7000
2025-08-07T13:00:00Z,8000
2025-08-07T14:00:00Z,7000
2025-08-07T15:00:00Z,8000
2025-08-08T09:00:00Z,9000
2025-08-08T10:00:00Z,6000
2025-08-08T11:00:00Z,6000
2025-08-08T12:00:00Z,6000
2025-08-08T13:00:00Z,8000
2025-08-08T14:00:00Z,9000
2025-08-08T21:20:00Z,4000
2025-08-08T21:39:00Z,2500
2025-08-08T22:00:00Z,9000
2025-08-09T00:00:00Z,8000
2025-08-09T01:00:00Z,8000
2025-08-09T02:00:00Z,8000
2025-08-09T03:00:00Z,8000
2025-08-09T04:00:00Z,7000
2025-08-09T05:00:00Z,6000
2025-08-09T06:00:00Z,7000
2025-08-09T07:00:00Z,7000
2025-08-09T08:00:00Z,9000
2025-08-09T11:00:00Z,7000
2025-08-09T12:00:00Z,9000
2025-08-10T00:00:00Z,3000
2025-08-10T00:10:00Z,4000
2025-08-10T00:41:00Z,9000
2025-08-11T08:00:00Z,8000
2025-08-11T09:00:00Z,7000
2025-08-11T09:33:00Z,8000
2025-08-11T10:00:00Z,5000
2025-08-11T11:00:00Z,9000
2025-08-11T13:00:00Z,8000
2025-08-12T09:29:00Z,4000
2025-08-12T10:00:00Z,8000
2025-08-12T11:00:00Z,9000
2025-08-13T06:00:00Z,8000
2025-08-13T07:00:00Z,7000
2025-08-13T08:00:00Z,8000
2025-08-13T09:00:00Z,8000
2025-08-13T10:00:00Z,8000
2025-08-14T08:00:00Z,7000
2025-08-14T09:00:00Z,6000
2025-08-14T10:00:00Z,7000
2025-08-14T11:00:00Z,7000
2025-08-14T12:00:00Z,8000
2025-08-17T02:00:00Z,9000
2025-08-17T03:00:00Z,9000
2025-08-17T04:00:00Z,9000
2025-08-17T06:00:00Z,8000
2025-08-17T07:00:00Z,9000
2025-08-17T09:00:00Z,7000
2025-08-17T10:00:00Z,8000
2025-08-17T11:00:00Z,8000
2025-08-17T12:00:00Z,8000
2025-08-17T13:00:00Z,9000
2025-08-18T06:00:00Z,8000
2025-08-18T07:00:00Z,8000
2025-08-18T08:00:00Z,8000
2025-08-18T09:00:00Z,8000
2025-08-18T10:00:00Z,8000
2025-08-22T06:00:00Z,8000
2025-08-22T07:00:00Z,8000
2025-08-22T08:00:00Z,8000
2025-08-22T10:00:00Z,8000
2025-08-24T10:00:00Z,9000
2025-08-24T11:00:00Z,9000
2025-08-24T17:00:00Z,9000
2025-08-25T06:00:00Z,8000
2025-08-25T07:00:00Z,8000
2025-08-25T08:00:00Z,8000
2025-08-25T09:00:00Z,8000
2025-08-25T10:00:00Z,8000
2025-08-26T11:00:00Z,9000
2025-08-27T02:00:00Z,8000
2025-08-27T03:00:00Z,8000
2025-08-27T04:00:00Z,8000
2025-08-27T05:00:00Z,8000
2025-08-27T06:00:00Z,8000
2025-08-27T07:00:00Z,8000
2025-08-27T08:00:00Z,8000
2025-08-27T09:00:00Z,8000
2025-08-27T10:00:00Z,8000
2025-08-27T11:00:00Z,9000
2025-08-28T00:00:00Z,8000
2025-08-28T05:00:00Z,8000
2025-08-28T06:00:00Z,8000
2025-08-28T09:00:00Z,8000
2025-08-28T11:00:00Z,8000
2025-08-28T12:00:00Z,9000
2025-08-28T13:00:00Z,9000
2025-08-28T14:00:00Z,9000
2025-08-28T15:00:00Z,9000
2025-08-28T16:00:00Z,9000
2025-08-29T09:00:00Z,8000
2025-08-29T10:00:00Z,7000
2025-08-29T11:00:00Z,8000
2025-08-29T12:00:00Z,8000
2025-08-29T13:00:00Z,8000
2025-08-29T14:00:00Z,8000
2025-08-29T15:00:00Z,8000
2025-08-30T10:00:00Z,7000
2025-08-30T11:00:00Z,7000
2025-08-30T12:00:00Z,8000
2025-08-30T13:00:00Z,9000
2025-08-30T14:00:00Z,9000
2025-08-30T16:00:00Z,9000
2025-08-30T18:00:00Z,9000
2025-08-30T18:30:00Z,5000
2025-08-30T19:00:00Z,9000
2025-08-31T09:00:00Z,9000
2025-08-31T18:48:00Z,4000
2025-08-31T19:00:00Z,5000
2025-08-31T20:00:00Z,3000
2025-08-31T21:00:00Z,7000
2025-09-01T07:00:00Z,8000
2025-09-01T08:00:00Z,8000
2025-09-02T03:00:00Z,8000
2025-09-02T04:00:00Z,8000
2025-09-02T05:00:00Z,8000
2025-09-02T06:00:00Z,8000
2025-09-02T07:00:00Z,8000
2025-09-02T08:00:00Z,8000
2025-09-02T09:00:00Z,8000
2025-09-07T00:00:00Z,8000
2025-09-07T01:00:00Z,5000
2025-09-07T02:00:00Z,8000
2025-09-07T03:00:00Z,7000
2025-09-07T04:00:00Z,7000
2025-09-07T05:00:00Z,7000
2025-09-07T06:00:00Z,6000
2025-09-07T07:00:00Z,6000
2025-09-07T07:15:00Z,3000
2025-09-07T08:00:00Z,3500
2025-09-07T09:00:00Z,4500
2025-09-07T09:25:00Z,6000
2025-09-07T10:00:00Z,8000
2025-09-07T11:00:00Z,9000
2025-09-07T12:00:00Z,9000
2025-09-07T13:00:00Z,9000
2025-09-07T14:00:00Z,9000
